  EVENTID,AUTHOR   ,DATE      ,TIME       ,LAT     ,LON      ,DEPTH,DEPFIX,AUTHOR   ,TYPE  ,MAG ,,,
750574,ISC      ,17-03-1974,57:08.3,1.2146,98.5203,61.7,      ,ISC      ,mb    ,5.8,,,
750860,ISC      ,25-03-1974,31:46.5,-8.1735,108.9271,100,TRUE  ,ISC      ,mb    ,5.3,,,
749159,ISC      ,08-04-1974,46:13.8,-2.1426,99.6864,120,TRUE  ,ISC      ,mb    ,4.3,,,
749164,ISC      ,08-04-1974,06:45.8,-2.1591,99.6245,30,TRUE  ,ISC      ,mb    ,5,,,
749171,ISC      ,09-04-1974,06:06.1,-4.4451,101.8509,10,TRUE  ,ISC      ,mb    ,5.1,,,
749298,ISC      ,13-04-1974,19:23.7,-6.177,104.8118,100,TRUE  ,ISC      ,mb    ,4.6,,,
749568,ISC      ,20-04-1974,49:01.4,7.0081,94.6701,26,TRUE  ,ISC      ,mb    ,4.7,,,
749588,ISC      ,21-04-1974,32:18.0,-9.7065,107.1518,22,TRUE  ,ISC      ,mb    ,4.8,,,
747760,ISC      ,02-05-1974,08:31.8,-6.5652,105.2354,77.2,      ,ISC      ,mb    ,5.3,,,
747921,ISC      ,06-05-1974,32:37.4,3.2295,96.366,49.4,      ,ISC      ,mb    ,4.8,,,
